City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
171,Quelimane,MZ,2020-04-19 00:00:59,-17.88,36.89,78.8,88,75,6.93,broken clouds,0.0,0.0
172,Portland,US,2020-04-18 23:56:21,45.52,-122.68,54.0,76,90,5.82,light rain,0.0,0.0
173,Amapa,BR,2020-04-19 00:00:59,1.0,-52.0,73.38,92,64,2.19,light rain,2.25,0.0
174,Les Cayes,HT,2020-04-19 00:00:59,18.2,-73.75,79.63,77,11,5.37,few clouds,0.0,0.0
175,Lock Haven,US,2020-04-18 23:57:50,41.14,-77.45,43.0,61,32,2.48,scattered clouds,0.0,0.0
176,Vila Franca Do Campo,PT,2020-04-19 00:00:59,37.72,-25.43,62.6,93,75,13.87,broken clouds,0.0,0.0
177,Hobart,AU,2020-04-19 00:00:27,-42.88,147.33,55.99,76,75,8.05,broken clouds,0.0,0.0
178,Businga,CD,2020-04-19 00:00:59,3.33,20.88,70.2,82,68,1.57,broken clouds,0.0,0.0
179,Niamey,NE,2020-04-19 00:01:00,13.51,2.11,95.0,23,11,5.82,dust,0.0,0.0
180,Sitka,US,2020-04-18 23:58:31,57.05,-135.33,51.8,81,40,5.82,scattered clouds,0.0,0.0
181,Los Llanos De Aridane,ES,2020-04-18 23:59:20,28.66,-17.92,66.2,68,5,16.11,clear sky,0.0,0.0
182,Dingle,PH,2020-04-18 23:59:30,11.0,122.67,83.3,71,13,11.9,light rain,0.13,0.0
183,Georgetown,MY,2020-04-18 23:59:13,5.41,100.34,82.4,94,40,4.7,scattered clouds,0.0,0.0
184,Tiarei,PF,2020-04-18 23:58:04,-17.53,-149.33,86.0,74,41,5.82,light rain,1.16,0.0
185,Ponta Do Sol,PT,2020-04-18 23:58:13,32.67,-17.1,57.99,60,7,1.99,clear sky,0.0,0.0
186,Rosita,NI,2020-04-19 00:01:00,13.93,-84.4,80.91,60,57,3.87,broken clouds,0.0,0.0
187,Torbay,CA,2020-04-19 00:01:00,47.67,-52.73,33.01,91,20,13.87,few clouds,0.0,0.0
188,Fukue,JP,2020-04-18 23:56:53,32.69,128.84,57.2,76,75,6.93,broken clouds,0.0,0.0
189,Alekseyevka,RU,2020-04-19 00:01:00,50.63,38.69,36.79,75,3,5.37,clear sky,0.0,0.0
190,Shizunai,JP,2020-04-19 00:01:00,42.33,142.37,49.15,55,100,7.38,overcast clouds,0.0,0.0
191,Nadvoitsy,RU,2020-04-19 00:01:00,63.87,34.32,32.0,94,100,9.78,light snow,0.0,0.19
192,Horasan,TR,2020-04-19 00:01:00,40.05,42.17,47.08,42,98,4.47,light rain,0.78,0.0
193,Katsuura,JP,2020-04-18 23:57:26,35.13,140.3,62.01,57,5,20.02,clear sky,0.0,0.0
194,Nador,MA,2020-04-18 23:57:49,35.17,-2.93,62.6,93,75,3.36,broken clouds,0.0,0.0
195,Mackay,AU,2020-04-18 23:56:41,-21.15,149.2,84.0,78,75,5.82,broken clouds,0.0,0.0
196,Lasa,IT,2020-04-19 00:00:23,46.62,10.7,51.8,66,81,9.17,light rain,0.32,0.0
197,Faya,SA,2020-04-19 00:01:00,18.39,42.45,62.6,82,20,6.93,few clouds,0.0,0.0
198,Hare Bay,CA,2020-04-19 00:01:00,48.85,-54.01,32.0,97,20,6.93,few clouds,0.0,0.0
199,Tuatapere,NZ,2020-04-19 00:01:00,-46.13,167.68,55.99,67,47,11.01,light rain,0.43,0.0
200,Anadyr,RU,2020-04-18 23:58:15,64.75,177.48,15.8,85,90,13.42,light snow,0.0,0.0
201,Hirtshals,DK,2020-04-19 00:01:00,57.59,9.96,41.38,68,0,7.07,clear sky,0.0,0.0
202,San Quintin,MX,2020-04-18 23:58:58,30.48,-115.95,62.28,67,0,19.28,clear sky,0.0,0.0
203,Lethem,GY,2020-04-19 00:01:01,3.38,-59.8,86.43,45,6,2.75,light rain,0.37,0.0
204,Kieta,PG,2020-04-19 00:00:13,-6.22,155.63,85.6,64,65,0.92,broken clouds,0.0,0.0
205,Antofagasta,CL,2020-04-19 00:01:01,-23.65,-70.4,64.4,77,40,11.41,scattered clouds,0.0,0.0
