City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Tatvan,TR,2020-04-17 01:19:08,38.51,42.28,42.12,46,2,1.41
151,Airai,TL,2020-04-17 01:19:08,-8.93,125.41,68.86,58,1,3.31
152,Tasiilaq,GL,2020-04-17 01:19:08,65.61,-37.64,30.2,92,100,26.4
153,Margate,GB,2020-04-17 01:19:08,51.38,1.39,50.0,87,7,11.41
154,Faanui,PF,2020-04-17 01:19:08,-16.48,-151.75,83.32,66,8,9.35
155,Hovd,MN,2020-04-17 01:19:08,48.01,91.64,40.1,52,100,3.13
156,Ostersund,SE,2020-04-17 01:19:08,63.18,14.64,33.01,86,12,18.34
157,Severo-Kurilsk,RU,2020-04-17 01:19:08,50.68,156.12,31.59,96,99,12.93
158,Binga,ZW,2020-04-17 01:19:08,-17.62,27.34,75.52,49,21,0.89
159,Pierre,US,2020-04-17 01:19:08,44.37,-100.35,44.01,38,90,8.05
160,Gotsu,JP,2020-04-17 01:19:08,35.0,132.22,62.6,59,75,1.12
161,Ancud,CL,2020-04-17 01:19:08,-41.87,-73.82,57.2,100,90,16.11
162,Mayumba,GA,2020-04-17 01:19:08,-3.43,10.66,79.38,83,100,1.05
163,Plettenberg Bay,ZA,2020-04-17 01:19:08,-34.05,23.37,60.37,75,37,4.43
164,Lompoc,US,2020-04-17 01:15:33,34.64,-120.46,64.99,77,75,12.75
165,Omboue,GA,2020-04-17 01:19:08,-1.57,9.26,78.42,90,100,9.01
166,Rock Springs,US,2020-04-17 01:19:08,41.59,-109.2,24.8,62,90,8.05
167,Khatanga,RU,2020-04-17 01:19:09,71.97,102.5,4.82,90,0,12.28
168,Vao,NC,2020-04-17 01:19:09,-22.67,167.48,75.02,63,17,10.51
169,Carnarvon,AU,2020-04-17 01:19:09,-24.87,113.63,87.8,35,61,10.29
170,Matara,LK,2020-04-17 01:19:09,5.95,80.54,77.68,86,69,1.97
171,Raudeberg,NO,2020-04-17 01:19:09,61.99,5.14,39.2,55,65,4.7
172,Hirara,JP,2020-04-17 01:19:09,24.8,125.28,77.0,64,20,12.75
173,Kottagudem,IN,2020-04-17 01:19:09,17.55,80.63,77.97,65,0,3.67
174,Goure,NE,2020-04-17 01:19:09,13.98,10.27,78.1,14,19,8.66
175,Portland,US,2020-04-17 01:17:06,45.52,-122.68,71.6,18,1,17.22
176,Chuy,UY,2020-04-17 01:18:28,-33.7,-53.46,62.26,87,10,8.43
177,Show Low,US,2020-04-17 01:18:00,34.25,-110.03,64.4,16,1,19.46
178,Camapua,BR,2020-04-17 01:19:09,-19.53,-54.04,61.59,60,0,7.27
179,Kaitangata,NZ,2020-04-17 01:19:09,-46.28,169.85,51.01,73,100,11.01
180,Buin,CL,2020-04-17 01:19:09,-33.73,-70.75,64.4,55,25,8.05
181,Amantea,IT,2020-04-17 01:19:09,39.13,16.07,42.8,93,20,4.7
182,Yar-Sale,RU,2020-04-17 01:19:09,66.83,70.83,25.7,98,91,14.67
183,Nosy Varika,MG,2020-04-17 01:19:09,-20.58,48.53,73.71,78,15,2.48
184,Lasa,IT,2020-04-17 01:19:09,46.62,10.7,44.01,38,8,5.82
185,Saint-Philippe,RE,2020-04-17 01:19:09,-21.36,55.77,73.4,60,16,8.05
186,Mananjary,MG,2020-04-17 01:19:09,-21.22,48.33,74.75,74,12,3.56
187,Zhigansk,RU,2020-04-17 01:19:09,66.77,123.37,-3.84,88,10,17.85
188,Kahului,US,2020-04-17 01:19:09,20.89,-156.47,82.4,51,40,19.46
189,Gumdag,TM,2020-04-17 01:19:09,39.21,54.59,59.58,53,19,3.49
190,Arlit,NE,2020-04-17 01:19:10,18.74,7.39,83.41,12,41,3.29
191,Rivadavia,AR,2020-04-17 01:19:10,-33.19,-68.46,68.0,60,0,9.33
192,Kushima,JP,2020-04-17 01:19:10,31.46,131.23,64.4,59,75,4.7
193,Nantucket,US,2020-04-17 01:19:10,41.28,-70.1,42.8,33,1,14.99
194,Shahreza,IR,2020-04-17 01:19:10,32.03,51.88,52.68,33,59,0.96
195,Cheyenne,US,2020-04-17 01:19:10,41.14,-104.82,28.99,73,75,8.05
196,Mutsu,JP,2020-04-17 01:19:10,41.29,141.22,48.99,65,20,8.05
197,Torbay,CA,2020-04-17 01:19:10,47.67,-52.73,32.0,86,5,23.04
198,Beisfjord,NO,2020-04-17 01:19:10,68.38,17.6,33.01,100,92,12.75
199,Domoni,KM,2020-04-17 01:19:10,-12.26,44.53,83.52,72,83,9.13
200,Guerrero Negro,MX,2020-04-17 01:19:10,27.98,-114.06,71.89,35,100,14.76
201,Staryy Nadym,RU,2020-04-17 01:19:10,65.61,72.68,29.75,98,99,15.59
202,Dingle,PH,2020-04-17 01:19:10,11.0,122.67,83.98,72,38,9.86
203,Goundi,TD,2020-04-17 01:19:10,9.36,17.37,85.42,12,4,2.75
204,East London,ZA,2020-04-17 01:19:02,-33.02,27.91,62.78,65,0,4.83
205,Husavik,IS,2020-04-17 01:19:10,66.04,-17.34,42.8,85,40,34.45
206,Mayo,US,2020-04-17 01:19:10,38.89,-76.51,48.2,39,1,9.17
207,Arenapolis,BR,2020-04-17 01:19:10,-14.45,-56.85,71.76,82,23,4.29
208,Mizdah,LY,2020-04-17 01:19:11,31.45,12.98,62.33,62,11,7.38
209,Clearwater,US,2020-04-17 01:17:00,27.97,-82.8,69.01,77,75,9.17
210,Matay,EG,2020-04-17 01:19:11,28.42,30.78,60.66,65,16,10.96
211,Isangel,VU,2020-04-17 01:19:11,-19.55,169.27,84.2,70,40,11.41
212,Hailar,CN,2020-04-17 01:19:11,49.2,119.7,47.35,38,0,7.85
213,San Carlos,VE,2020-04-17 01:19:11,9.66,-68.58,85.19,42,89,1.43
214,Almendralejo,ES,2020-04-17 01:19:11,38.68,-6.41,57.2,82,91,6.93
215,Kota Kinabalu,MY,2020-04-17 01:19:11,5.97,116.07,87.8,66,20,3.36
216,Micheweni,TZ,2020-04-17 01:19:11,-4.97,39.83,82.9,80,100,15.48
217,Varca,IN,2020-04-17 01:19:11,15.22,73.92,82.4,88,20,3.36
218,Cocobeach,GA,2020-04-17 01:17:06,1.0,9.58,73.4,100,40,5.82
219,Tuatapere,NZ,2020-04-17 01:19:11,-46.13,167.68,48.0,94,100,8.01
220,Alofi,NU,2020-04-17 01:19:11,-19.06,-169.92,80.04,72,100,11.97
221,Taksimo,RU,2020-04-17 01:19:11,56.34,114.88,40.64,48,10,2.53
222,Port Elizabeth,ZA,2020-04-17 01:19:11,-33.92,25.57,53.6,81,0,4.12
223,Ternate,ID,2020-04-17 01:19:11,0.8,127.4,83.52,74,79,3.0
224,Kambam,ID,2020-04-17 01:19:11,5.25,96.86,79.0,83,100,9.93
225,Ribeira Grande,PT,2020-04-17 01:19:11,38.52,-28.7,58.78,79,35,11.1
226,Yamada,JP,2020-04-17 01:19:11,39.47,141.95,47.7,53,0,4.18
227,Zhanaozen,KZ,2020-04-17 01:19:11,43.3,52.8,47.68,54,79,13.47
228,Souillac,MU,2020-04-17 01:19:11,-20.52,57.52,75.2,83,40,8.05
229,Huarmey,PE,2020-04-17 01:19:12,-10.07,-78.15,75.36,66,54,7.63
230,Wajir,KE,2020-04-17 01:19:12,1.75,40.06,81.05,68,84,13.33
231,Aswan,EG,2020-04-17 01:19:12,24.09,32.91,75.16,19,57,12.88
232,Kindu,CD,2020-04-17 01:19:12,-2.95,25.95,72.36,84,99,1.07
233,Akdepe,TM,2020-04-17 01:19:12,42.06,59.38,55.4,61,0,6.93
234,Lerwick,GB,2020-04-17 01:18:40,60.15,-1.15,39.2,93,39,1.12
235,Hithadhoo,MV,2020-04-17 01:19:12,-0.6,73.08,84.24,73,82,7.72
236,Amambai,BR,2020-04-17 01:19:12,-23.1,-55.23,56.8,57,0,5.03
237,Albina,SR,2020-04-17 01:19:12,5.5,-54.05,75.69,88,97,2.39
238,Tacuarembo,UY,2020-04-17 01:19:12,-31.73,-55.98,57.61,81,50,5.97
239,Tessalit,ML,2020-04-17 01:19:12,20.2,1.01,81.82,18,23,9.89
240,Lorengau,PG,2020-04-17 01:19:12,-2.02,147.27,82.17,78,100,8.77
241,Tabuk,PH,2020-04-17 01:19:12,17.42,121.44,78.37,69,54,5.53
242,Agirish,RU,2020-04-17 01:19:12,61.92,63.02,41.18,89,100,8.63
243,Esperance,AU,2020-04-17 01:19:12,-33.87,121.9,64.4,68,0,9.17
244,Chissamba,AO,2020-04-17 01:19:12,-12.17,17.33,62.6,62,21,1.54
245,Betulia,CO,2020-04-17 01:19:12,6.11,-75.98,62.6,93,40,2.24
246,Hambantota,LK,2020-04-17 01:19:12,6.12,81.12,77.0,100,20,3.36
247,Najran,SA,2020-04-17 01:19:13,17.49,44.13,71.6,73,0,4.7
248,Oistins,BB,2020-04-17 01:19:13,13.07,-59.53,78.8,74,40,16.11
249,Bang Rakam,TH,2020-04-17 01:19:13,16.76,100.12,84.2,74,85,9.17
250,Baft,IR,2020-04-17 01:19:13,29.23,56.61,46.6,37,0,1.28
251,Ugoofaaru,MV,2020-04-17 01:19:13,5.67,73.0,85.19,72,51,11.12
252,Lukulu,ZM,2020-04-17 01:19:13,-14.37,23.24,66.88,65,35,3.0
253,Manuk Mangkaw,PH,2020-04-17 01:19:13,4.8,119.85,83.34,73,92,6.98
254,Vanavara,RU,2020-04-17 01:19:13,60.34,102.28,32.45,86,100,11.12
255,Sola,VU,2020-04-17 01:19:13,-13.88,167.55,84.2,79,75,15.95
256,Magadan,RU,2020-04-17 01:19:13,59.57,150.8,24.98,96,100,7.76
257,Kodiak,US,2020-04-17 01:19:13,57.79,-152.41,48.2,81,75,6.93
258,Victoria,HK,2020-04-17 01:15:35,22.29,114.16,77.0,73,20,10.29
259,Moissala,TD,2020-04-17 01:19:13,8.34,17.77,83.79,17,11,3.44
260,Pingliang,CN,2020-04-17 01:19:13,35.54,106.69,48.22,27,96,4.21
261,Xining,CN,2020-04-17 01:19:13,36.62,101.77,41.23,21,92,1.81
262,Kabalo,CD,2020-04-17 01:19:13,-6.05,26.92,72.25,78,100,2.93
263,Sao Filipe,CV,2020-04-17 01:19:13,14.9,-24.5,72.37,75,80,12.59
264,Miyang,CN,2020-04-17 01:19:13,24.4,103.44,63.9,52,40,3.94
265,Boueni,YT,2020-04-17 01:19:13,-12.9,45.08,78.8,88,20,3.36
266,Berlevag,NO,2020-04-17 01:19:14,70.86,29.09,36.21,83,97,16.87
267,Charters Towers,AU,2020-04-17 01:19:14,-20.1,146.27,80.98,56,20,9.82
268,Presidencia Roque Saenz Pena,AR,2020-04-17 01:19:14,-26.79,-60.44,61.57,49,50,4.72
269,Boa Vista,BR,2020-04-17 01:19:14,2.82,-60.67,86.0,55,57,11.41
270,Iwanai,JP,2020-04-17 01:19:14,42.97,140.51,46.47,56,0,5.01
271,Mpika,ZM,2020-04-17 01:19:14,-11.83,31.45,61.68,61,49,7.74
272,Katsuura,JP,2020-04-17 01:19:14,35.13,140.3,57.99,62,40,4.7
273,Ponta Do Sol,PT,2020-04-17 01:19:14,32.67,-17.1,60.8,67,20,4.7
274,Kemijarvi,FI,2020-04-17 01:19:14,66.71,27.43,29.32,95,100,12.53
275,Xingyi,CN,2020-04-17 01:19:14,24.19,102.82,61.23,40,31,3.53
276,Carutapera,BR,2020-04-17 01:19:14,-1.2,-46.02,79.99,81,71,5.32
277,Pecos,US,2020-04-17 01:19:14,31.42,-103.49,87.8,9,1,9.17
278,Portoferraio,IT,2020-04-17 01:19:14,42.81,10.31,57.0,81,20,5.82
279,Kandava,LV,2020-04-17 01:19:14,57.04,22.77,35.76,80,32,8.23
280,Bilibino,RU,2020-04-17 01:19:14,68.05,166.44,12.78,84,59,2.91
281,Buchanan,LR,2020-04-17 01:19:14,5.88,-10.05,81.68,84,94,5.48
282,Bubaque,GW,2020-04-17 01:19:14,11.28,-15.83,79.61,69,50,13.58
283,Harper,LR,2020-04-17 01:19:14,4.38,-7.72,81.36,86,91,8.43
284,Tupancireta,BR,2020-04-17 01:19:14,-29.08,-53.84,51.89,61,2,3.02
285,Noumea,NC,2020-04-17 01:19:14,-22.28,166.46,86.0,51,35,11.41
286,Luwuk,ID,2020-04-17 01:19:14,-0.95,122.79,83.75,69,17,0.31
287,Saint-Denis,FR,2020-04-17 01:19:15,48.92,2.33,61.0,76,75,3.36
288,Bhuj,IN,2020-04-17 01:19:15,23.27,69.67,80.06,57,88,11.36
289,Aklavik,CA,2020-04-17 01:19:15,68.22,-135.01,30.2,86,90,13.87
290,Lavrentiya,RU,2020-04-17 01:19:15,65.58,-171.0,30.33,98,100,9.26
291,Vila,PT,2020-04-17 01:19:15,42.03,-8.16,59.0,93,75,9.17
292,Guanica,PR,2020-04-17 01:19:15,17.97,-66.91,81.0,76,14,7.7
293,Rio Grande,BR,2020-04-17 01:18:18,-32.03,-52.1,60.01,93,2,12.12
294,Mount Gambier,AU,2020-04-17 01:17:30,-37.83,140.77,57.2,71,90,14.99
295,Havre-Saint-Pierre,CA,2020-04-17 01:19:15,50.23,-63.6,28.4,58,40,12.75
296,Pangnirtung,CA,2020-04-17 01:19:15,66.15,-65.71,17.17,88,99,2.44
297,Hasaki,JP,2020-04-17 01:19:15,35.73,140.83,57.99,58,75,5.82
298,Nouadhibou,MR,2020-04-17 01:19:15,20.93,-17.03,64.4,88,71,14.99
299,Charlottetown,CA,2020-04-17 01:19:15,46.24,-63.13,35.01,92,75,4.7
300,Pasighat,IN,2020-04-17 01:19:15,28.07,95.33,69.85,75,99,1.19
301,Komsomolskiy,UZ,2020-04-17 01:19:15,40.43,71.72,50.0,81,54,6.93
302,Victor Harbor,AU,2020-04-17 01:19:15,-35.57,138.62,64.99,51,75,11.41
303,Nishihara,JP,2020-04-17 01:19:15,26.18,127.76,73.4,60,1,10.29
304,Ballarat,AU,2020-04-17 01:19:15,-37.57,143.85,63.0,64,53,3.0
305,Mitu,CO,2020-04-17 01:16:04,1.2,-70.17,79.52,64,70,1.95
306,Garissa,KE,2020-04-17 01:19:15,-0.45,39.64,79.68,71,74,12.46
